train_no,timestamp,latitude,longitude,speed_kmph,current_delay_min,distance_to_station_km,historical_travel_time_min,previous_delay_min,congestion_index,expected_dwell_min,signal_delay_min,maintenance_block,level_crossing_delay_min,actual_remaining_time_min
13006,2026-09-01T00:00:00Z,22.546832,88.329684,40.02,12.97,134.25,198.41,14.76,0.444,1.66,4.07,0,3.22,213.08
12019,2026-09-02T03:07:00Z,22.655406,88.364491,102.85,0,4.15,3,0,0.196,1.68,1.05,0,0,3.36
12020,2026-09-03T06:14:00Z,22.456929,88.292108,37.09,17.12,54.89,99.45,14.0,0.145,7.9,5.05,0,0,99.2
13006,2026-09-04T09:21:00Z,22.6716,88.241619,54.03,15.47,168.79,211.22,13.1,0.516,5.48,3.29,0,0.05,205.17
12301,2026-09-05T12:28:00Z,22.549952,88.383413,102.45,21.06,74.01,40.01,17.7,0.462,5.5,4.53,0,1.84,52.31
12019,2026-09-06T15:35:00Z,22.739877,88.494312,49.74,5.98,179.56,233.58,7.29,0.083,1.44,2.67,0,3.04,231.94
12301,2026-09-07T18:42:00Z,22.577682,88.229564,91.23,10.09,23.28,18.52,1.54,0.192,7.8,2.95,0,0,20.37
12019,2026-09-08T21:49:00Z,22.592431,88.256023,98.63,0,98.47,70.24,0,0.093,6.32,2.36,0,2.38,73.85
13005,2026-09-09T00:56:00Z,22.477076,88.178397,68.08,9.16,40.49,38.85,5.83,0.2,4.62,3.84,0,1.94,45.2
13006,2026-09-01T03:03:00Z,22.542471,88.18773,35.3,6.19,14.93,23.12,3.28,0.214,7.18,4.96,0,1.27,37.75
13006,2026-09-02T06:10:00Z,22.592614,88.170235,68.79,8.04,77.97,72.32,0.62,0.408,3.95,3.36,0,2.32,76.11
13005,2026-09-03T09:17:00Z,22.559253,88.319203,105.24,16.95,174.51,121.8,18.71,0.36,3.65,2.46,0,0.95,124.06
13006,2026-09-04T12:24:00Z,22.608262,88.420085,119.59,14.72,101.37,58.56,18.19,0.614,4.52,5.16,0,0.5,70.84
12302,2026-09-05T15:31:00Z,22.445807,88.4082,66.34,13.09,169.66,168.7,11.84,0.101,2.83,2.13,0,0.74,168.12
12020,2026-09-06T18:38:00Z,22.745532,88.411591,58.46,0,136.08,129.25,4.66,0.08,7.15,1.52,0,1.84,140.5
12301,2026-09-07T21:45:00Z,22.698519,88.352164,90.11,0,101.16,82.59,8.16,0.157,2.97,5.11,0,0,85.8
12019,2026-09-08T00:52:00Z,22.716375,88.368236,111.48,2.86,152.76,76.65,4.72,0.015,6.19,0.06,1,0.69,95.34
12019,2026-09-09T03:59:00Z,22.454094,88.521952,82.43,19.43,29.21,20.09,15.6,0.625,6.46,8.5,0,0,40.9
12302,2026-09-01T06:06:00Z,22.477852,88.476635,117.86,26.14,146.51,90.13,27.4,0.164,6.68,2.29,0,3.82,97.73
12020,2026-09-02T09:13:00Z,22.515902,88.16104,61.47,0,148.23,174.35,1.24,0.513,3.46,6.95,0,0,166.77
12019,2026-09-03T12:20:00Z,22.588458,88.437772,46.07,18.3,173.37,224.18,21.66,0.429,3.7,2.36,0,0.67,241.6
13006,2026-09-04T15:27:00Z,22.594044,88.226736,96.33,10.24,37.88,24.79,20.93,0.583,4.55,2.91,0,0.13,40.08
13006,2026-09-05T18:34:00Z,22.459392,88.183918,114.63,3.67,122.89,78.21,0.86,0.207,4.25,1.53,0,1.57,80.54
13005,2026-09-06T21:41:00Z,22.710148,88.380268,89.75,0,112.61,70.22,3.49,0.38,7.89,3.08,0,1.39,80.93
13006,2026-09-07T00:48:00Z,22.559762,88.470567,92.67,9.41,90.5,57.74,8.98,0.679,2.23,7.05,1,0.73,82.43
13006,2026-09-08T03:55:00Z,22.663122,88.485945,77.8,29.42,101.93,79.48,29.6,0.568,4.12,2.11,0,2.26,91.54
12019,2026-09-09T06:02:00Z,22.589914,88.31631,98.92,9.38,95.27,64.68,11.37,0.282,1.97,3.49,0,3.49,74.89
12302,2026-09-01T09:09:00Z,22.679954,88.509125,104.96,14.02,71.94,48.09,14.96,0.396,7.24,3.45,0,0,54.3
12020,2026-09-02T12:16:00Z,22.447495,88.334679,49.75,2.23,80.14,87.97,8.69,0.296,5.36,5.16,0,1.45,108.24
12301,2026-09-03T15:23:00Z,22.478478,88.177447,53.41,12.43,60.94,72.5,7.06,0.245,4.29,6.49,0,4.7,87.82
13006,2026-09-04T18:30:00Z,22.672227,88.215506,33.62,17.41,8.49,14.95,11.51,0.357,4.26,3.35,0,2.64,30.94
12019,2026-09-05T21:37:00Z,22.610144,88.198422,39.73,6.4,7.55,11.5,0.85,0.502,5.39,0,0,1.61,14.7
13005,2026-09-06T00:44:00Z,22.569224,88.32423,100.44,1.84,64.46,40.43,6.15,0.159,4.05,2.11,0,0,45.92
13006,2026-09-07T03:51:00Z,22.524189,88.253341,83.32,0,60.05,42.63,3.71,0.286,3.35,2.5,0,0.41,52.6
12019,2026-09-08T06:58:00Z,22.642126,88.272482,109.23,34.27,127.11,69.59,35.05,0.115,5.83,1.05,0,0,79.05
13005,2026-09-09T09:05:00Z,22.641557,88.226616,63.21,13.91,100.96,97.78,20.23,0.324,6.05,3.24,0,1.04,102.03
13006,2026-09-01T12:12:00Z,22.444198,88.497384,73.58,1.94,131.25,132.91,1.31,0.183,1.1,1.17,0,0.94,119.4
12020,2026-09-02T15:19:00Z,22.486867,88.373229,39.23,4.91,5.17,7.9,0.39,0.087,2.06,2.59,0,1.8,13.4
12020,2026-09-03T18:26:00Z,22.460835,88.180026,84.57,0,142.96,99.3,0,0.266,6.18,4.36,0,0.87,109.13
12301,2026-09-04T21:33:00Z,22.469237,88.195911,66.77,5.06,125.02,119.59,9.09,0.435,2.85,4.08,0,0,123.43
12302,2026-09-05T00:40:00Z,22.428155,88.165944,88.29,15.43,163.79,132.38,16.73,0.22,1.87,1.71,0,0,124.26
12020,2026-09-06T03:47:00Z,22.581637,88.326892,96.11,9.97,109.86,62.35,10.95,0.86,6.75,8.41,0,1.28,85.52
12019,2026-09-07T06:54:00Z,22.559189,88.275807,46.33,5.63,106.6,154.91,5.75,0.21,3.31,2.27,0,0.04,152.79
12019,2026-09-08T09:01:00Z,22.50081,88.502339,40.43,0,139.74,249.4,0.11,0.074,4.09,2.21,1,1.11,240.7
12020,2026-09-09T12:08:00Z,22.578105,88.25937,40.93,10.39,175.25,285.97,13.32,0.571,7.39,3.31,0,1.38,279.86
12020,2026-09-01T15:15:00Z,22.504495,88.384775,118.22,10.16,46.14,25.59,1.76,0.236,7.54,5.96,0,1.72,34.7
13006,2026-09-02T18:22:00Z,22.64683,88.474564,74.07,2.87,29.3,25.84,8.11,0.423,5.88,2.38,0,0.72,38.43
12020,2026-09-03T21:29:00Z,22.450454,88.498373,118.96,14.48,143.25,81.52,21.94,0.176,6.92,6.93,0,1.42,90.66
12302,2026-09-04T00:36:00Z,22.48217,88.42376,36.73,2.8,141.33,229.17,0,0.085,7.68,0,0,0,229.51
12019,2026-09-05T03:43:00Z,22.598075,88.467008,119.77,6.47,135.18,71.23,12.24,0.716,3.05,6.51,0,2.33,89.97
12302,2026-09-06T06:50:00Z,22.730832,88.545061,45.76,5.21,110.88,150.32,0,0.329,5.67,5.12,0,0.2,156.7
12019,2026-09-07T09:57:00Z,22.63038,88.259792,87.5,8.87,78.1,52.89,10.75,0.372,5.02,2.39,0,0.04,68.57
13005,2026-09-08T12:04:00Z,22.638299,88.204712,107.86,24.0,140.76,97.16,19.59,0.442,6.61,4.02,0,2.16,101.53
12301,2026-09-09T15:11:00Z,22.690665,88.252788,111.31,0,117.4,63.8,0,0.352,4.78,4.36,0,0,71.53
12020,2026-09-01T18:18:00Z,22.492561,88.199435,117.06,13.76,55.24,34.11,8.46,0.158,5.72,0,0,2.94,40.0
12019,2026-09-02T21:25:00Z,22.688349,88.513755,90.55,15.38,122.0,89.29,20.6,0.372,4.93,0,0,1.3,94.25
12019,2026-09-03T00:32:00Z,22.709895,88.411969,88.43,42.27,23.65,14.7,46.12,0.128,3.6,5.44,0,0.48,25.63
12020,2026-09-04T03:39:00Z,22.496559,88.537283,85.41,1.6,169.21,118.62,0.32,0.352,3.57,2.11,0,0.87,125.5
12020,2026-09-05T06:46:00Z,22.676025,88.388393,38.25,13.17,40.54,71.47,12.88,0.17,6.81,0.17,0,0.53,73.25
12019,2026-09-06T09:53:00Z,22.660983,88.340498,107.26,27.16,28.61,15.13,27.14,0.064,2.22,3.5,1,1.1,29.62
12019,2026-09-07T12:00:00Z,22.718395,88.179396,76.19,12.8,22.3,18.9,12.3,0.504,7.75,6.14,0,1.84,33.46
12301,2026-09-08T15:07:00Z,22.62915,88.501082,58.99,0,29.26,28.09,0,0.421,4.54,1.81,0,1.4,36.38
13005,2026-09-09T18:14:00Z,22.432631,88.188626,94.88,11.23,41.06,27.47,15.73,0.513,5.66,3.24,0,1.81,44.43
13006,2026-09-01T21:21:00Z,22.509357,88.19144,63.54,17.73,26.03,22.64,23.91,0.266,3.96,2.37,0,2.37,35.63
